Unnamed: 0,RowNumber,CustomerId,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
83034,1,15922495,564,Female,52,4,92057.75642500081,4,1,0,184566.38,0
17708,2,15922496,833,Female,61,5,124903.89907846875,3,0,0,92133.12,0
26149,3,15922497,595,Male,32,2,66850.59838472071,3,1,0,39705.97,0
31312,4,15922498,701,Male,71,5,186614.25082038096,1,1,0,93489.97,0
26322,5,15922499,726,Male,29,4,104904.72299448543,1,1,1,79390.7,1
82113,6,15922500,573,Male,61,1,203551.0455380543,3,0,0,190328.98,1
88230,7,15922501,516,Female,80,2,182215.46656868656,1,1,1,62287.08,1
62394,8,15922502,667,Male,62,2,176779.2689713394,3,0,0,178036.86,1
13545,9,15922503,310,Female,18,9,110774.857486661,3,1,1,6100.15,0
18471,10,15922504,640,Male,61,2,179486.26222209414,2,1,0,27737.89,1
39897,11,15922505,590,Female,61,1,146123.72118395445,1,1,0,59629.16,0
48980,12,15922506,382,Male,27,4,27873.27795694188,2,1,1,148486.56,0
65909,13,15922507,413,Female,73,2,154408.52672123333,2,1,1,120798.59,1
53114,14,15922508,318,Male,77,8,111902.71969799162,3,0,1,83852.76,0
33830,15,15922509,708,Male,32,7,159227.68415616255,3,1,1,83321.04,0
24376,16,15922510,677,Male,68,4,138169.29631599673,1,0,0,168438.14,0
72226,17,15922511,514,Male,21,4,90935.72822612661,3,1,0,44211.38,1
76111,18,15922512,826,Male,63,3,153756.23380149488,1,1,0,157726.2,0
12941,19,15922513,509,Female,43,3,198786.17725579249,1,1,1,75254.71,0
20230,20,15922514,468,Female,27,0,78378.56345409069,3,1,1,138832.19,1
50690,21,15922515,801,Male,38,10,76140.24434040276,2,0,1,163513.55,0
45210,22,15922516,345,Male,71,7,124690.95718663867,3,1,0,86470.53,1
89903,23,15922517,516,Female,47,9,84266.55355070814,1,0,0,39746.95,0
56506,24,15922518,313,Female,59,10,116750.11879567066,3,0,0,48868.32,1
47809,25,15922519,492,Female,44,2,107596.51034830125,3,0,1,50103.54,0
48756,26,15922520,700,Male,28,2,99951.39288200188,2,1,1,20082.91,0
69969,27,15922521,491,Female,77,1,211857.33798885185,3,1,1,86002.08,1
62811,28,15922522,571,Male,25,2,57395.139458368474,1,0,1,129244.3,0
25554,29,15922523,564,Male,25,5,73331.03546908303,1,0,1,78026.8,0
76404,30,15922524,334,Female,44,9,97227.44563424018,3,1,1,191367.94,0
78105,31,15922525,351,Male,77,6,144321.0231685737,2,1,0,187952.94,1
96063,32,15922526,465,Male,50,4,44194.969805607434,4,0,0,155579.03,0
80757,33,15922527,601,Female,20,3,47061.73854145591,1,0,0,158887.92,0
35577,34,15922528,339,Male,76,9,105867.56149066226,3,0,1,63295.43,0
38798,35,15922529,807,Male,77,6,168045.7581189629,3,0,0,151875.01,0
68368,36,15922530,771,Female,50,4,128945.44010858801,1,1,0,11472.36,0
68531,37,15922531,610,Male,38,7,53989.694229100394,2,0,0,4933.99,0
72658,38,15922532,702,Male,29,10,49859.59423405956,2,1,0,14556.81,0
88232,39,15922533,709,Male,63,8,165775.6738694513,4,1,0,64123.81,0
36344,40,15922534,304,Female,21,4,123919.14933942555,4,1,0,145685.36,0
94487,41,15922535,821,Female,18,2,102206.52165399659,2,1,1,7236.68,0
10134,42,15922536,326,Male,79,3,118159.29136253563,3,0,0,77286.69,0
16922,43,15922537,764,Male,46,7,161295.61841227388,3,1,1,119587.83,0
97610,44,15922538,758,Male,41,9,69784.9075031939,1,0,1,169465.82,0
94948,45,15922539,709,Male,60,0,111429.45752940171,3,0,1,113080.34,0
36855,46,15922540,373,Male,20,9,62354.648836759596,2,1,1,49860.21,1
22533,47,15922541,748,Female,57,0,151485.86987370765,4,0,0,18184.88,0
38258,48,15922542,829,Male,36,6,86590.86961362122,1,1,0,101797.85,0
13879,49,15922543,751,Female,68,0,51717.59657064414,3,1,0,161452.53,1
90253,50,15922544,681,Female,41,1,206265.11763495626,2,0,1,166549.62,1
69639,51,15922545,439,Male,27,1,132926.70400183726,4,0,0,124306.17,0
62664,52,15922546,605,Female,47,0,93787.35584508775,4,0,0,36817.31,1
32020,53,15922547,565,Female,43,8,129537.40802029622,3,1,1,15920.81,0
52417,54,15922548,779,Male,57,4,149632.66441108313,3,1,1,10602.69,0
27130,55,15922549,488,Male,56,4,150371.83528091127,1,1,1,54693.68,1
79594,56,15922550,525,Female,19,7,18727.808473637848,3,0,1,107246.57,0
52702,57,15922551,444,Male,19,5,130068.35005579023,2,1,1,30734.98,0
12731,58,15922552,569,Female,46,4,82735.97411566314,4,1,0,124386.45,0
32897,59,15922553,614,Female,70,4,176268.21168422425,3,1,1,63581.55,0
73626,60,15922554,553,Female,61,4,112356.24180533392,3,0,0,158150.86,1
56772,61,15922555,475,Male,44,2,86963.9957550683,2,1,0,106569.74,0
43681,62,15922556,602,Male,61,7,100415.55426102279,1,1,1,153698.9,1
32827,63,15922557,640,Female,33,0,104298.22604966468,3,0,1,52084.68,0
18176,64,15922558,392,Male,39,0,40922.05935139126,3,0,1,114362.27,0
